B.Browner	NO	21
J.Hughes	BUF	15
D.Kirkpatrick	CIN	13
N.Suh	MIA	13
G.Robinson	STL	13
M.Remmers	CAR	11
D.Bakhtiari	GB	11
L.Johnson	PHI	11
G.Cherilus	TB	11
J.Reed	WAS	11
