(1564, 8.95897435897436)
(1568, 8.9375)
(1572, 10.86864406779661)
(1574, 9.798076923076923)
(1582, 9.938983050847458)
(1584, 9.859756097560975)
(1588, 9.7)
(1590, 8.466989436619718)
(1592, 8.937106918238994)
(1594, 12.142857142857142)
(1598, 9.832)
(1600, 10.153295128939828)
(1602, 5.7272727272727275)
(1606, 8.594594594594595)
(1610, 7.866666666666666)
(1612, 9.72972972972973)
(1614, 10.375)
(1618, 10.413793103448276)
(1620, 9.106382978723405)
(1624, 9.962686567164178)
(1626, 9.645833333333334)
(1628, 10.875)
(1630, 9.87683284457478)
(1632, 10.96551724137931)
(1634, 10.240663900414937)
(1636, 8.869565217391305)
(1638, 8.90632318501171)
(1640, 8.696629213483146)
(1642, 7.82051282051282)
(1644, 9.903419316136773)
(1646, 10.65979381443299)
(1648, 10.167434715821813)
(1650, 9.542635658914728)
(1652, 10.80887372013652)
(1654, 10.220779220779221)
(1656, 9.257806244995997)
(1658, 9.864114832535885)
(1660, 9.6171875)
(1662, 10.31306990881459)
(1664, 9.701492537313433)
(1666, 9.49056603773585)
(1668, 9.840531561461795)
(1670, 9.996473906911142)
(1672, 8.582407407407407)
(1674, 8.748031496062993)
(1676, 9.5351966873706)
(1678, 9.727992087042532)
(1680, 9.897791474062661)
(1682, 10.124462245957574)
(1684, 9.937956204379562)
(1686, 9.449860167798642)
(1688, 9.363554352728913)
(1690, 9.43511988716502)
(1692, 9.476075731497419)
(1694, 8.999666444296198)
(1696, 9.449561403508772)
(1698, 9.719795702712222)
(1700, 9.096592509152352)
(1702, 9.290060590434447)
(1704, 9.144575443610814)
(1706, 8.952313226804986)
(1708, 9.258142018152697)
(1710, 9.15707310363799)
(1712, 9.260443037974683)
(1714, 9.484388068023417)
(1716, 9.707060862031621)
(1718, 9.397583804962995)
(1720, 9.589349905562663)
(1722, 9.273537256682367)
(1724, 9.403195758096876)
(1726, 9.29462956601397)
(1728, 9.562599443118536)
(1730, 9.650327233872044)
(1732, 9.519148043227363)
(1734, 9.269370629370629)
(1736, 9.456283550261048)
(1738, 9.169781799729364)
(1740, 9.51054423497129)
(1742, 9.48612820225976)
(1744, 9.783484110415216)
(1746, 9.612099964041711)
(1748, 9.61619801049581)
(1750, 10.119207727106003)
(1752, 9.841500148487548)
(1754, 10.108241740937864)
(1756, 9.827037319116528)
(1758, 10.25396711423853)
(1760, 10.101295812784063)
(1762, 10.186296543764806)
(1764, 10.310726995424504)
(1766, 10.304126999705565)
(1768, 10.518832662449684)
(1770, 10.413838968109127)
(1772, 10.220206093189963)
(1774, 10.62566225165563)
(1776, 10.59949191206968)
(1778, 10.453467093654009)
(1780, 10.676031412454375)
(1782, 10.522076796930598)
(1784, 10.785035547477165)
(1786, 10.74508038585209)
(1788, 10.552930415816506)
(1790, 10.662289694029267)
(1792, 10.718925697277037)
(1794, 10.677649844847297)
(1796, 10.664665034050119)
(1798, 10.602597029916064)
(1800, 10.632660151214562)
(1802, 10.760434640675278)
(1804, 10.672260859154775)
(1806, 10.661703424038995)
(1808, 10.712532361683767)
(1810, 10.767261549348724)
(1812, 10.722045135789877)
(1814, 10.56244378201173)
(1816, 10.754263273344812)
(1818, 10.844678090657865)
(1820, 10.78183391191738)
(1822, 10.743212286746395)
(1824, 10.759184628638645)
(1826, 10.771667878739578)
(1828, 10.688674308440687)
(1830, 10.735050687990668)
(1832, 10.775306224250373)
