pagename,post_id,comment_id,comment
wsj,8304333127_10156668072748128,10156668072748128_1521701247917325,"박종현 오"
wsj,8304333127_10156668072748128,10156668072748128_1469191526501635,"Alavee"
wsj,8304333127_10156668072748128,10156668072748128_142817556332728," wowowow"
wsj,8304333127_10156668072748128,10156668072748128_135629747059384,"Rosnani HarunHafiez Fhazzomfa"
wsj,8304333127_10156668072748128,10156668072748128_491531494556697,"Aminah Magsino-Santos"
wsj,8304333127_10156668072748128,10156668072748128_1065993970170063,"Eugene Naeem Charles when you can't update ya phone cuz ya will lose ya jailbreak but it don't matter anyway cuz IOS 11 still lacking d kinda tweaks I have lol"
wsj,8304333127_10156668072748128,10156668072748128_119183625414100,"Chinz Ashy"
wsj,8304333127_10156668072748128,10156668072748128_175100193049085,"Ya lo avia visto but i dnt do none lol"
wsj,8304333127_10156668072748128,10156668072748128_1949648355258776,"Ahmad Sarminy Yaman Besmar Iyad Almowaqee Waseem Sukkar خطييييييير"
wsj,8304333127_10156668072748128,10156668072748128_164254420820294,"Ciera Baumgardner"
wsj,8304333127_10156668072748128,10156668072748128_2048537332035095,"Shaun Westergard Ivy Isbell Hansen Mary Isbell Williams Ashley Isbell Rayback"
wsj,8304333127_10156668072748128,10156668072748128_466161180437728,"Edson Contreras is it really this good?!?!"
wsj,8304333127_10156668072748128,10156668072748128_177326489506484,"Tricia Tutanes"
wsj,8304333127_10156668072748128,10156668072748128_1946604975598196,"Brandon"
wsj,8304333127_10156668072748128,10156668072748128_1459215180810503,""
wsj,8304333127_10156668072748128,10156668072748128_862791797221415,"EsRaa Ashraf"
wsj,8304333127_10156668072748128,10156668072748128_1928300974090514,"Aún no me aparece "
wsj,8304333127_10156668072748128,10156668072748128_211028549433318,"Stephanie Alston"
wsj,8304333127_10156668072748128,10156668072748128_130077634400448,"Danielle Mari Allas"
wsj,8304333127_10156668072748128,10156668072748128_2024021564493988,"Jitu Thakare"
wsj,8304333127_10156668072748128,10156668072748128_369713840129257,"Kody Smith"
wsj,8304333127_10156668072748128,10156668072748128_2013384668885454,"Bridget Stanley"
wsj,8304333127_10156668072748128,10156668072748128_1361766627255842,"Jerome Tiamzon oh para di ka na mashunga hahahaha"
wsj,8304333127_10156668072748128,10156668072748128_266343793874044,"Michaell Gallardo Xochitl Lozano miraaaaaa locooooo"
wsj,8304333127_10156668072748128,10156668072748128_1639865796085761,"Sammy Rae Sammi Clark"
wsj,8304333127_10156668072748128,10156668072748128_1742203112741039,"Kelly White"
wsj,8304333127_10156668072748128,10156668072748128_1923421831208902,"Bka kulang pa yan... isama mo na dugo mo bebe q.. haha.."
wsj,8304333127_10156668072748128,10156668072748128_173087196582523,""
wsj,8304333127_10156668072748128,10156668072748128_119358842077185,"Novie Caranzo"
wsj,8304333127_10156668072748128,10156668072748128_2020550928177971,"Nita Butler Ryan West"
wsj,8304333127_10156668072748128,10156668072748128_512323959113345,"Se ve cool"
wsj,8304333127_10156668072748128,10156668072748128_1930180140638059,"Vienca Martina"
wsj,8304333127_10156679738118128,10156679738118128_10156687732623128,"buy a Ghia instead "
